# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.2% |              259.25 |        3,857,350.68 |    5.1% |        2,581.75 |          774.29 |  3.334 |         211.06 |    0.1% |      0.01 | :wavy_dash: `3d_gauss deg=8 dim=3 N=32` (Unstable with ~143.5 iters. Increase `minEpochIterations` to e.g. 1435)
|     0.0% |              184.37 |        5,423,935.66 |    0.9% |        1,704.81 |          547.16 |  3.116 |         115.21 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               43.93 |       22,761,162.03 |    0.5% |          420.41 |          130.80 |  3.214 |          11.99 |    0.0% |      0.48 | `3d_gauss deg=8 dim=3 N=1000000`
|     8.6% |              202.69 |        4,933,607.90 |    0.1% |        1,406.00 |          605.18 |  2.323 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              399.68 |        2,502,004.60 |    3.8% |        3,746.35 |        1,192.95 |  3.140 |         246.28 |    0.5% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               91.71 |       10,903,962.08 |    1.0% |          931.19 |          273.98 |  3.399 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               59.89 |       16,696,674.49 |    0.8% |          643.73 |          178.19 |  3.613 |          10.89 |    0.0% |      0.66 | `3d_gauss deg=10 dim=3 N=1000000`
|    12.8% |              135.36 |        7,387,855.00 |    0.1% |          865.00 |          404.20 |  2.140 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              239.87 |        4,168,898.28 |    1.7% |        2,600.06 |          712.83 |  3.648 |         213.66 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              154.09 |        6,489,727.24 |    3.2% |        1,489.58 |          454.17 |  3.280 |          98.35 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               50.40 |       19,841,426.53 |    0.7% |          417.35 |          150.10 |  2.780 |          11.84 |    2.2% |      0.55 | `3d_yukawa deg=8 dim=3 N=1000000`
|    12.8% |              135.77 |        7,365,326.96 |    0.6% |          865.00 |          405.27 |  2.134 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              280.12 |        3,569,955.85 |    1.5% |        2,751.06 |          835.84 |  3.291 |         246.06 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              204.22 |        4,896,686.61 |    1.7% |        1,717.84 |          608.87 |  2.821 |         121.35 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               49.83 |       20,068,685.07 |    0.4% |          424.02 |          148.54 |  2.855 |          12.21 |    1.5% |      0.55 | `3d_imq deg=8 dim=3 N=1000000`
