# baobzi pack/scatter bench (nanobench, xsimd lane_w=8)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 800.0 and 4,600.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi pack/scatter
|     3.2% |                3.89 |      257,231,555.45 |    0.0% |           54.00 |           12.01 |  4.497 |           7.00 |    0.0% |      0.24 | `1d_erf scalar_loop<1024> deg=8`
|    89.0% |                4.50 |      222,337,294.16 |    0.5% |           58.00 |           13.90 |  4.173 |           7.00 |    0.0% |      0.24 | `1d_tanh_sharp eval_pack<1> deg=10`
|    86.3% |                4.64 |      215,477,174.35 |    0.3% |           58.00 |           14.34 |  4.044 |           7.00 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<1> deg=10`
|    22.5% |                4.44 |      225,095,633.06 |    0.0% |           53.25 |           13.72 |  3.881 |           5.50 |    0.0% |      0.24 | `1d_tanh_sharp eval_pack<4> deg=10`
|    21.9% |                4.58 |      218,437,247.98 |    0.0% |           59.25 |           14.14 |  4.190 |           7.50 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<4> deg=10`
|    11.3% |                4.44 |      224,997,103.52 |    0.0% |           52.63 |           13.73 |  3.834 |           5.25 |    0.0% |      0.24 | `1d_tanh_sharp eval_pack<8> deg=10`
|    10.9% |                4.58 |      218,572,423.16 |    0.1% |           58.63 |           14.13 |  4.149 |           7.25 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<8> deg=10`
|     5.6% |                4.45 |      224,829,376.69 |    0.0% |           52.31 |           13.74 |  3.808 |           5.13 |    0.0% |      0.24 | `1d_tanh_sharp eval_pack<16> deg=10`
|     5.4% |                4.64 |      215,566,409.19 |    1.5% |           58.31 |           14.33 |  4.069 |           7.13 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<16> deg=10`
|     2.8% |                4.52 |      221,417,472.92 |    3.0% |           55.44 |           13.96 |  3.972 |           7.06 |    0.1% |      0.24 | `1d_tanh_sharp eval_pack<32> deg=10`
|     2.7% |                4.69 |      213,095,475.87 |    0.6% |           58.16 |           14.50 |  4.011 |           7.06 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<32> deg=10`
|     2.9% |                4.34 |      230,259,921.47 |    0.0% |           55.34 |           13.42 |  4.125 |           7.03 |    0.0% |      0.24 | `1d_tanh_sharp eval_pack<64> deg=10`
|     2.7% |                4.58 |      218,550,436.51 |    0.1% |           58.08 |           14.14 |  4.107 |           7.03 |    0.0% |      0.24 | `1d_tanh_sharp scalar_loop<64> deg=10`
|     2.7% |                4.55 |      219,735,228.18 |    0.1% |           55.71 |           14.06 |  3.962 |           7.16 |    0.1% |      0.24 | `1d_tanh_sharp eval_pack<128> deg=10`
