# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     1.1% |               77.06 |       12,976,578.80 |    0.9% |          475.66 |          229.77 |  2.070 |          45.19 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               30.45 |       32,844,241.25 |    0.1% |          177.68 |           90.85 |  1.956 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               34.69 |       28,829,516.17 |    1.5% |          149.03 |          103.24 |  1.443 |           9.75 |    0.0% |      0.41 | `2d_mq deg=8 dim=2 N=1000000`
|    42.5% |               65.25 |       15,326,244.94 |    1.6% |          540.00 |          194.82 |  2.772 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.1% |            1,099.05 |          909,877.78 |    0.8% |       18,360.23 |        3,246.18 |  5.656 |       2,571.69 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              412.97 |        2,421,467.83 |    8.4% |        2,019.43 |        1,231.17 |  1.640 |         188.31 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.0 iters. Increase `minEpochIterations` to e.g. 20)
|     0.0% |              207.65 |        4,815,845.23 |   10.2% |          361.13 |          614.12 |  0.588 |          18.03 |    0.3% |      1.96 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1000000` (Unstable with ~1.0 iters. Increase `minEpochIterations` to e.g. 10)
|    11.4% |              243.91 |        4,099,949.88 |    0.1% |          857.00 |          727.90 |  1.177 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              427.59 |        2,338,680.63 |    1.3% |        2,579.81 |        1,274.60 |  2.024 |         213.03 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              296.04 |        3,377,943.74 |    2.5% |        1,702.51 |          882.17 |  1.930 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |              226.51 |        4,414,884.56 |    2.0% |          417.41 |          668.03 |  0.625 |          11.99 |    0.0% |      2.06 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.3% |              377.24 |        2,650,824.98 |    0.3% |        1,400.00 |        1,125.38 |  1.244 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              659.55 |        1,516,184.48 |    0.8% |        3,745.07 |        1,963.87 |  1.907 |         246.28 |    0.5% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              146.79 |        6,812,639.12 |    0.4% |          929.22 |          437.89 |  2.122 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |              106.30 |        9,407,731.47 |    3.5% |          641.73 |          316.23 |  2.029 |          10.89 |    0.0% |      2.61 | `3d_gauss deg=10 dim=3 N=1000000`
|    11.1% |              250.26 |        3,995,784.90 |    1.8% |          857.00 |          744.17 |  1.152 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              426.04 |        2,347,216.96 |    3.0% |        2,598.28 |        1,267.95 |  2.049 |         215.62 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              271.83 |        3,678,758.85 |    3.0% |        1,487.35 |          809.19 |  1.838 |          99.52 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |              240.88 |        4,151,513.69 |    0.7% |          414.51 |          709.82 |  0.584 |          11.84 |    2.1% |      2.49 | `3d_yukawa deg=8 dim=3 N=1000000`
|    13.1% |              211.64 |        4,724,957.77 |    0.4% |          857.00 |          631.67 |  1.357 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              419.12 |        2,385,970.78 |    1.3% |        2,763.91 |        1,247.91 |  2.215 |         248.03 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              410.36 |        2,436,909.66 |    1.3% |        1,726.34 |        1,224.87 |  1.409 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |              238.99 |        4,184,310.95 |    1.3% |          420.92 |          705.87 |  0.596 |          12.21 |    1.4% |      2.20 | `3d_imq deg=8 dim=3 N=1000000`
