# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.0% |               30.20 |       33,109,218.14 |    1.7% |          182.47 |           89.01 |  2.050 |          11.80 |    0.1% |      0.33 | `2d_osc deg=8 dim=2 N=1000000`
|    37.9% |               40.00 |       25,002,883.33 |    0.1% |          232.00 |          119.44 |  1.942 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               42.62 |       23,462,197.40 |    1.0% |          479.78 |          127.21 |  3.771 |          45.22 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               16.71 |       59,836,976.33 |    0.1% |          181.68 |           49.93 |  3.638 |          12.51 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               19.66 |       50,854,203.14 |    0.9% |          153.03 |           58.60 |  2.611 |           9.75 |    0.0% |      0.22 | `2d_mq deg=8 dim=2 N=1000000`
|    19.3% |               78.37 |       12,759,573.97 |    0.3% |          545.00 |          233.30 |  2.336 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.0% |            1,316.95 |          759,327.83 |    2.2% |       18,357.16 |        3,926.81 |  4.675 |       2,571.69 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              280.23 |        3,568,557.66 |   10.0% |        2,016.42 |          834.97 |  2.415 |         188.31 |    1.8% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~3.1 iters. Increase `minEpochIterations` to e.g. 31)
|     0.0% |               56.82 |       17,600,874.13 |    1.1% |          358.13 |          169.42 |  2.114 |          18.03 |    0.3% |      0.63 | `3d_gauss deg=6 dim=3 N=1000000`
|    11.5% |              131.58 |        7,600,202.65 |    0.1% |          860.00 |          392.69 |  2.190 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              232.06 |        4,309,253.73 |    2.0% |        2,576.75 |          692.73 |  3.720 |         213.03 |    0.2% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              172.12 |        5,809,830.19 |    0.6% |        1,699.51 |          513.30 |  3.311 |         116.61 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |               42.60 |       23,476,416.38 |    0.7% |          414.41 |          126.88 |  3.266 |          11.99 |    0.0% |      0.47 | `3d_gauss deg=8 dim=3 N=1000000`
|     7.3% |              207.33 |        4,823,187.43 |    0.1% |        1,402.00 |          618.30 |  2.267 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              399.66 |        2,502,147.98 |    2.0% |        3,742.00 |        1,192.08 |  3.139 |         246.28 |    0.5% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |               93.07 |       10,744,530.94 |    0.2% |          926.22 |          274.70 |  3.372 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               58.62 |       17,058,459.97 |    0.4% |          638.73 |          174.57 |  3.659 |          10.89 |    0.0% |      0.64 | `3d_gauss deg=10 dim=3 N=1000000`
|    11.5% |              131.45 |        7,607,632.46 |    0.1% |          860.00 |          392.72 |  2.190 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              233.33 |        4,285,787.06 |    1.9% |        2,595.22 |          694.48 |  3.737 |         215.62 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              151.23 |        6,612,619.33 |    2.1% |        1,484.34 |          447.56 |  3.316 |          99.52 |    0.4% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               49.17 |       20,337,878.46 |    1.3% |          411.51 |          146.68 |  2.805 |          11.84 |    2.1% |      0.54 | `3d_yukawa deg=8 dim=3 N=1000000`
|    11.0% |              137.42 |        7,277,092.91 |    0.3% |          860.00 |          410.08 |  2.097 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              285.57 |        3,501,774.83 |    0.9% |        2,760.85 |          851.60 |  3.242 |         248.03 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              199.73 |        5,006,722.89 |    4.2% |        1,723.34 |          595.45 |  2.894 |         122.81 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               49.82 |       20,071,234.42 |    0.5% |          417.92 |          148.69 |  2.811 |          12.21 |    1.6% |      0.55 | `3d_imq deg=8 dim=3 N=1000000`
