# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.1% |              539.17 |        1,854,693.51 |    0.5% |        3,748.10 |        1,605.11 |  2.335 |         246.31 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              116.34 |        8,595,395.27 |    0.3% |          932.16 |          346.79 |  2.688 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               85.01 |       11,763,107.62 |    0.7% |          644.73 |          253.30 |  2.545 |          10.89 |    0.0% |      0.94 | `3d_gauss deg=10 dim=3 N=1000000`
|    13.5% |              188.69 |        5,299,588.68 |    4.2% |          848.00 |          561.90 |  1.509 |          31.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              368.50 |        2,713,706.79 |    3.9% |        2,602.16 |        1,098.90 |  2.368 |         215.66 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              222.38 |        4,496,863.94 |    4.2% |        1,491.10 |          661.23 |  2.255 |          99.52 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               72.46 |       13,800,111.05 |    1.4% |          418.35 |          215.60 |  1.940 |          11.84 |    2.1% |      0.79 | `3d_yukawa deg=8 dim=3 N=1000000`
|    14.7% |              173.35 |        5,768,513.02 |    1.6% |          848.00 |          517.29 |  1.639 |          31.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              419.74 |        2,382,412.58 |    0.4% |        2,752.16 |        1,251.84 |  2.198 |         246.06 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              277.96 |        3,597,637.29 |    2.3% |        1,718.77 |          827.61 |  2.077 |         121.35 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               72.26 |       13,839,655.08 |    1.1% |          425.02 |          215.25 |  1.975 |          12.21 |    1.6% |      0.79 | `3d_imq deg=8 dim=3 N=1000000`
