# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     8.1% |              217.56 |        4,596,381.31 |    0.8% |        1,406.00 |          647.28 |  2.172 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              434.00 |        2,304,138.04 |    2.5% |        3,746.35 |        1,296.58 |  2.889 |         246.28 |    0.5% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              101.95 |        9,808,513.67 |    0.3% |          931.19 |          302.41 |  3.079 |          32.32 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |               64.70 |       15,454,966.87 |    2.0% |          643.73 |          192.36 |  3.347 |          10.89 |    0.0% |      0.71 | `3d_gauss deg=10 dim=3 N=1000000`
|    12.7% |              138.78 |        7,205,717.84 |    0.6% |          865.00 |          414.31 |  2.088 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              278.45 |        3,591,355.91 |    4.7% |        2,600.06 |          831.74 |  3.126 |         213.66 |    0.2% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              182.21 |        5,488,306.53 |    4.1% |        1,489.58 |          539.61 |  2.760 |          98.35 |    0.4% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |               55.51 |       18,015,234.91 |    0.6% |          417.35 |          165.25 |  2.526 |          11.84 |    2.2% |      0.61 | `3d_yukawa deg=8 dim=3 N=1000000`
|    12.6% |              139.72 |        7,157,152.60 |    0.2% |          865.00 |          415.10 |  2.084 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              316.11 |        3,163,412.50 |    3.2% |        2,751.06 |          944.45 |  2.913 |         246.06 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              233.62 |        4,280,374.57 |    1.9% |        1,717.84 |          694.55 |  2.473 |         121.35 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |               55.35 |       18,068,468.11 |    0.8% |          424.02 |          164.05 |  2.585 |          12.21 |    1.6% |      0.61 | `3d_imq deg=8 dim=3 N=1000000`
