# baobzi microbench (nanobench, xsimd lane_w=4)
Warning, results might be unstable:
* CPU frequency scaling enabled: CPU 0 between 400.0 and 4,500.0 MHz
* CPU governor is 'powersave' but should be 'performance'
* Turbo is enabled, CPU frequency will fluctuate

Recommendations
* Use 'pyperf system tune' before benchmarking. See https://github.com/psf/pyperf

| relative |             ns/eval |              eval/s |    err% |        ins/eval |        cyc/eval |    IPC |       bra/eval |   miss% |     total | baobzi eval pipeline
|     0.4% |              216.64 |        4,615,870.87 |    1.7% |        1,380.69 |          644.34 |  2.143 |         138.56 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=32`
|     0.0% |               78.17 |       12,792,484.42 |    0.7% |          471.06 |          233.17 |  2.020 |          41.20 |    0.3% |      0.01 | `2d_osc deg=8 dim=2 N=1024`
|     0.0% |               51.62 |       19,371,199.25 |    1.9% |          181.75 |          153.56 |  1.184 |          11.80 |    0.0% |      0.73 | `2d_osc deg=8 dim=2 N=1000000`
|    40.7% |               73.65 |       13,578,549.93 |    0.2% |          235.00 |          219.61 |  1.070 |          26.00 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1`
|     1.1% |               84.29 |       11,863,189.88 |    0.8% |          509.56 |          250.12 |  2.037 |          47.81 |    0.1% |      0.01 | `2d_mq deg=8 dim=2 N=32`
|     0.1% |               29.62 |       33,759,989.31 |    0.2% |          183.07 |           88.27 |  2.074 |          12.91 |    0.0% |      0.01 | `2d_mq deg=8 dim=2 N=1024`
|     0.0% |               34.49 |       28,994,696.46 |    1.2% |          152.28 |          102.50 |  1.486 |           9.75 |    0.0% |      0.54 | `2d_mq deg=8 dim=2 N=1000000`
|    44.4% |               67.64 |       14,783,926.85 |    1.1% |          541.00 |          202.20 |  2.676 |          35.00 |    0.0% |      0.01 | `3d_gauss deg=6 dim=3 N=1`
|     0.1% |            1,644.46 |          608,103.85 |    1.7% |       26,170.20 |        4,912.45 |  5.327 |       2,700.94 |    0.1% |      0.01 | `3d_gauss deg=6 dim=3 N=32`
|     0.0% |              428.47 |        2,333,895.15 |   22.5% |        2,280.09 |        1,276.34 |  1.786 |         194.21 |    1.6% |      0.01 | :wavy_dash: `3d_gauss deg=6 dim=3 N=1024` (Unstable with ~2.0 iters. Increase `minEpochIterations` to e.g. 20)
|     0.0% |              245.87 |        4,067,109.78 |    1.5% |          365.82 |          724.17 |  0.505 |          18.25 |    0.4% |      2.69 | `3d_gauss deg=6 dim=3 N=1000000`
|    12.2% |              245.04 |        4,080,889.26 |    0.5% |          858.00 |          729.61 |  1.176 |          33.00 |    0.0% |      0.01 | `3d_gauss deg=8 dim=3 N=1`
|     0.2% |              484.19 |        2,065,302.82 |    0.6% |        2,726.91 |        1,441.60 |  1.892 |         218.31 |    0.1% |      0.01 | `3d_gauss deg=8 dim=3 N=32`
|     0.0% |              320.32 |        3,121,833.83 |    2.9% |        1,720.61 |          949.00 |  1.813 |         118.21 |    0.4% |      0.01 | `3d_gauss deg=8 dim=3 N=1024`
|     0.0% |              244.35 |        4,092,430.69 |    1.1% |          420.69 |          718.32 |  0.586 |          11.99 |    0.0% |      2.54 | `3d_gauss deg=8 dim=3 N=1000000`
|     8.0% |              374.73 |        2,668,559.91 |    0.4% |        1,401.00 |        1,117.76 |  1.253 |          32.00 |    0.0% |      0.01 | `3d_gauss deg=10 dim=3 N=1`
|     0.1% |              676.56 |        1,478,073.98 |    0.5% |        3,774.57 |        2,015.91 |  1.872 |         248.16 |    0.6% |      0.01 | `3d_gauss deg=10 dim=3 N=32`
|     0.0% |              149.68 |        6,680,958.15 |    0.4% |          932.33 |          445.65 |  2.092 |          32.74 |    0.3% |      0.01 | `3d_gauss deg=10 dim=3 N=1024`
|     0.0% |              108.07 |        9,253,325.91 |    3.7% |          641.99 |          320.87 |  2.001 |          10.89 |    0.0% |      2.73 | `3d_gauss deg=10 dim=3 N=1000000`
|    12.4% |              242.10 |        4,130,518.55 |    0.4% |          858.00 |          722.84 |  1.187 |          33.00 |    0.0% |      0.01 | `3d_yukawa deg=8 dim=3 N=1`
|     0.2% |              443.09 |        2,256,852.45 |    0.1% |        2,757.50 |        1,321.36 |  2.087 |         220.78 |    0.1% |      0.01 | `3d_yukawa deg=8 dim=3 N=32`
|     0.0% |              266.29 |        3,755,279.72 |    1.7% |        1,504.90 |          794.28 |  1.895 |         100.84 |    0.5% |      0.01 | `3d_yukawa deg=8 dim=3 N=1024`
|     0.0% |              251.00 |        3,984,042.19 |    0.6% |          418.79 |          740.01 |  0.566 |          11.85 |    2.2% |      2.75 | `3d_yukawa deg=8 dim=3 N=1000000`
|    15.5% |              193.90 |        5,157,314.62 |    0.1% |          858.00 |          578.35 |  1.484 |          33.00 |    0.0% |      0.01 | `3d_imq deg=8 dim=3 N=1`
|     0.2% |              442.91 |        2,257,809.96 |    2.3% |        3,008.22 |        1,319.58 |  2.280 |         253.62 |    0.2% |      0.01 | `3d_imq deg=8 dim=3 N=32`
|     0.0% |              332.36 |        3,008,791.31 |    3.3% |        1,745.19 |          990.03 |  1.763 |         124.49 |    0.6% |      0.01 | `3d_imq deg=8 dim=3 N=1024`
|     0.0% |              250.31 |        3,995,034.22 |    1.1% |          421.21 |          736.62 |  0.572 |          12.22 |    1.6% |      2.44 | `3d_imq deg=8 dim=3 N=1000000`
